timestamp,accept,brk,clone,close,connect,create,ctl,dup2,exit,fcntl,futex,getaffinity,gettid,ioctl,list,lseek,madvise,mmap,mprotect,munmap,newfstat,newstat,open,pipe,poll,pread64,pwrite64,read,recvfrom,sendto,sigprocmask,socket,syscall,wait,write,yield
2019-05-12 06:45:15,4264.890909090909,0,0,0,0,0,0,0,0,0,6975.363636363636,0,0,0,0,0,48.92727272727272,508.96363636363634,1780.1636363636362,92.24746424242424,0,0,0,0,0,4318.945454545455,3950.036363636363,7133.436363636362,0,0,0,0,0,5923.70909090909,5143.1454545454535,380.29090909090905
2019-05-12 06:45:12,4601.90909090909,0,0,0,0,0,0,0,0,0,7088.181818181818,0,0,0,0,0,0,595.4727272727272,1913.5454545454545,95.58928242424243,0,0,0,0,0,4354.327272727272,3921.9999999999995,7158.218181818182,0,0,0,0,0,6030.254545454545,5187.127272727273,494.6363636363636
2019-05-12 06:45:09,4438.036363636364,0,0,0,0,0,0,0,0,0,7052.381818181818,0,0,0,0,0,0,514.1818181818181,1877.8545454545454,0,0,0,0,0,0,4448.818181818181,3977.2363636363634,7149.381818181818,0,0,0,0,0,5905.381818181818,5165.236363636363,327.9090909090909
2019-05-12 06:45:06,4438.036363636364,0,0,0,0,0,0,0,0,0,7052.381818181818,0,0,0,0,0,0,514.1818181818181,1877.8545454545454,0,0,0,0,0,0,4448.818181818181,3977.2363636363634,7149.381818181818,0,0,0,0,0,5905.381818181818,5165.236363636363,327.9090909090909
2019-05-12 06:45:03,4236.309090909091,0,0,0,0,0,0,0,0,0,7387.309090909091,0,0,0,0,0,0,514.1818181818181,2016.9818181818182,0,0,0,0,0,0,4493.436363636364,3920.0181818181813,7093.090909090909,0,0,0,0,0,5952.963636363636,5166.6,327.9090909090909
2019-05-12 06:45:00,4236.309090909091,0,0,0,0,0,0,0,0,0,7387.309090909091,0,0,0,0,0,0,514.1818181818181,2016.9818181818182,0,0,0,0,0,0,4493.436363636364,3920.0181818181813,7093.090909090909,0,0,0,0,0,5952.963636363636,5166.6,327.9090909090909
2019-05-12 06:44:57,4224.2,0,0,0,0,0,0,0,0,0,7516.527272727272,0,0,0,0,0,0,388.32727272727266,1814.1818181818182,0,0,0,0,0,0,4369.963636363636,3936.381818181818,6951.836363636363,0,0,0,0,0,5897.581818181818,4923.745454545454,297.6
2019-05-12 06:44:54,4277.309090909091,0,0,0,0,0,0,0,0,0,7400.272727272726,0,0,0,0,0,0,388.32727272727266,1661.4727272727273,0,0,0,0,0,0,4301.236363636363,3974.054545454545,6872.581818181818,0,0,0,0,0,6122.218181818182,4922.654545454545,297.6
2019-05-12 06:44:51,4277.309090909091,0,0,0,0,0,0,0,0,0,7400.272727272726,0,0,0,0,0,0,388.32727272727266,1661.4727272727273,0,0,0,0,0,0,4301.236363636363,3974.054545454545,6872.581818181818,0,0,0,0,0,6122.218181818182,4922.654545454545,297.6
2019-05-12 06:44:48,4144.654545454545,0,0,0,0,0,0,0,0,0,7546.890909090909,0,0,0,0,0,0,388.32727272727266,2272.2,0,0,0,0,0,0,4227.636363636363,3893.4363636363632,6725.745454545454,0,0,0,0,0,5896.763636363637,4775.727272727273,297.6
