timestamp,accept,clone,close,connect,create,ctl,dup2,exit,fcntl,futex,getaffinity,getpid,getsockname,gettid,ioctl,list,lseek,madvise,mmap,mprotect,munmap,newfstat,newstat,open,pipe,poll,pread64,pwrite64,read,recvfrom,sendto,sigprocmask,socket,syscall,tgkill,wait,write,yield
2019-05-11 12:31:12,2765.509090909091,0,0,0,0,0,0,0,0,1759.2363636363634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,666.0727272727272,0
2019-05-11 12:31:09,2984.7272727272725,0,0,0,0,0,0,0,0,2197.509090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.4363636363636,0
2019-05-11 12:31:06,2984.7272727272725,0,0,0,0,0,0,0,0,2197.509090909091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,693.4363636363636,0
2019-05-11 12:31:03,3058.1272727272726,0,0,0,0,0,0,0,0,2266.472727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717.7272727272726,0
2019-05-11 12:31:00,3058.1272727272726,0,0,0,0,0,0,0,0,2266.472727272727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,717.7272727272726,0
2019-05-11 12:30:57,3194.3636363636365,0,0,0,0,0,0,0,0,2254.636363636363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,732.3636363636363,0
2019-05-11 12:30:54,3155.581818181818,0,1.7818181818181817,0,0,0,0,0,0,2542.6545454545453,0,0,0,0,0,0,12.763636363636362,0,0,0,0,82.2841793939394,0,18.970955151515152,0,0,0,0,73.2,0,0,0,0,0,0,0,710.0181818181817,0
2019-05-11 12:30:51,3155.581818181818,0,1.7818181818181817,0,0,0,0,0,0,2542.6545454545453,0,0,0,0,0,0,12.486053333333336,0,0,0,0,78.11690666666667,0,18.012773333333335,0,0,0,0,73.2,0,0,0,0,0,0,0,710.0181818181817,0
2019-05-11 12:30:48,2940.9636363636364,0,44.98181818181818,0,0,0,0,0,0,2438.3636363636365,0,0,0,0,0,0,12.763636363636362,101.34545454545453,3.0727272727272723,45.87272727272727,3.2909090909090906,80.89508848484847,0,18.651561212121216,0,0,0,0,73.2,0,0,0,0,0,0,0,715.8545454545454,0
2019-05-11 12:30:45,2940.9636363636364,0,44.98181818181818,0,0,0,0,0,0,2438.3636363636365,0,0,0,0,0,0,12.273326060606061,101.34545454545453,3.0727272727272723,45.87272727272727,3.2909090909090906,76.72781575757577,0,17.693379393939395,0,0,0,0,73.2,0,0,0,0,0,0,0,715.8545454545454,0
2019-05-11 12:30:42,2930.109090909091,0,44.98181818181818,0,0,0,0,0,0,2285.054545454545,0,0,0,0,0,0,12.698780606060607,101.34545454545453,3.0727272727272723,45.87272727272727,3.2909090909090906,79.50599757575759,0,18.332167272727272,0,0,0,0,73.2,0,0,0,0,0,0,0,639.5454545454545,0
2019-05-11 12:30:39,2320.6181818181817,0,44.98181818181818,0,0,0,0,0,0,2213.9090909090905,0,0,0,0,0,0,12.763636363636362,101.34545454545453,3.0727272727272723,45.87272727272727,3.2909090909090906,82.2841793939394,0,18.970955151515152,0,0,0,0,73.2,0,0,0,0,0,0,0,407.8727272727273,0
2019-05-11 12:30:36,2320.6181818181817,0,44.98181818181818,0,0,0,0,0,0,2213.9090909090905,0,0,0,0,0,0,12.486053333333336,101.34545454545453,3.0727272727272723,45.87272727272727,3.2909090909090906,78.11690666666667,0,18.012773333333335,0,0,0,0,73.2,0,0,0,0,0,0,0,407.8727272727273,0
