timestamp,accept,clone,close,connect,dup2,exit,fsync,ftruncate,futex,getaffinity,getpid,getsockname,gettid,ioctl,list,lseek,madvise,mmap,mprotect,munmap,newfstat,newstat,open,poll,pread64,pwrite64,read,recvfrom,rename,sendto,setsockopt,sigprocmask,socket,syscall,unlink,wait,write,yield
2019-05-12 04:32:50,4405.363636363636,0,0,0,0,0,0,0,6988.927272727273,0,0,0,0,0,0,0,0,136.83636363636364,2508.1272727272726,0,0,0,0,0,3768.763636363636,4130.890909090909,7305.272727272726,0,0,0,0,0,0,0,0,6668.654545454545,4764.381818181818,211.9272727272727
2019-05-12 04:32:47,4383.236363636363,0,0,0,0,0,0,0,7056.763636363637,0,0,0,0,0,0,0,0,285.4545454545454,2567.690909090909,0,0,0,0,0,3779.0181818181813,4058.3999999999996,7148.036363636363,0,0,0,0,0,0,0,0,6541.963636363636,4751.309090909091,240.78181818181818
2019-05-12 04:32:44,4397.6909090909085,0,0,0,0,0,0,0,6998.054545454545,0,0,0,0,0,0,0,0,209.5272727272727,2664.3636363636365,0,0,0,0,0,3883.1454545454544,4119.527272727272,7247.127272727273,0,0,0,0,0,0,0,0,6529.945454545454,4799.363636363636,240.78181818181818
2019-05-12 04:32:41,4397.6909090909085,0,0,0,0,0,0,0,6998.054545454545,0,0,0,0,0,0,0,0,209.5272727272727,2664.3636363636365,0,0,0,0,0,3883.1454545454544,4119.527272727272,7247.127272727273,0,0,0,0,0,0,0,0,6529.945454545454,4799.363636363636,240.78181818181818
2019-05-12 04:32:38,4600.727272727273,0,0,0,0,0,0,0,6994.090909090909,0,0,0,0,0,0,0,54.61818181818182,209.5272727272727,2771.872727272727,0,0,0,0,0,3632.5999999999995,4310.854545454545,7199.127272727273,0,0,0,0,0,0,0,0,6482.472727272727,4775.563636363636,182.74545454545452
2019-05-12 04:32:35,4600.727272727273,0,0,0,0,0,0,0,6994.090909090909,0,0,0,0,0,0,0,54.61818181818182,209.5272727272727,2771.872727272727,0,0,0,0,0,3632.5999999999995,4310.854545454545,7199.127272727273,0,0,0,0,0,0,0,0,6482.472727272727,4775.563636363636,182.74545454545452
2019-05-12 04:32:32,4336.818181818181,0,0,0,0,0,0,0,6952.090909090909,0,0,0,0,0,0,0,54.61818181818182,209.5272727272727,2844.218181818181,0,0,0,0,0,3610.2363636363634,4380.672727272727,7347.599999999999,0,0,0,0,0,0,0,0,6452.927272727273,4721.072727272726,234.89090909090908
2019-05-12 04:32:29,4236.617208524257,0,0,0,0,0,0,0,6787.602734744346,0,0,0,0,0,0,0,54.62215433849735,268.89228307513275,2953.1784129754897,0,0,0,0,0,3235.8898829005752,4319.568695905157,7318.7868208597,0,0,0,0,0,0,0,0,6452.687468179504,4477.798385337116,234.9079933086043
2019-05-12 04:32:26,4236.617208524257,0,0,0,0,0,0,0,6787.602734744346,0,0,0,0,0,0,0,54.62215433849735,268.89228307513275,2953.1784129754897,0,0,0,0,0,3235.8898829005752,4319.568695905157,7318.7868208597,0,0,0,0,0,0,0,0,6452.687468179504,4477.798385337116,234.9079933086043
2019-05-12 04:32:23,3989.1999999999994,0,0,0,0,0,0,0,6652.818181818181,0,0,0,0,0,0,194.96363636363634,54.61818181818182,207.96363636363634,2759.1272727272726,0,0,0,0,0,3076.7454545454543,4194.072727272727,7011.309090909091,0,0,0,0,0,0,0,0,6299.090909090909,4582.836363636364,130.6181818181818
