timestamp,accept,brk,clone,close,connect,dup2,exit,fsync,ftruncate,futex,getaffinity,getpid,getsockname,gettid,ioctl,list,lseek,madvise,mmap,mprotect,munmap,newfstat,newstat,open,poll,pread64,pwrite64,read,recvfrom,rename,sendto,setsockopt,sigprocmask,socket,syscall,unlink,wait,write,yield
2019-05-11 13:54:43,3375.781818181818,0,0,125.12727272727271,0,89.92727272727272,198.87272727272727,0,0,4531.90909090909,0,0,0,0,0,0,69.61818181818181,70.05454545454545,506.3818181818181,1960.8181818181815,63.781818181818174,22.636363636363633,0,37.45454545454545,0,2427.272727272727,1957.9818181818182,4459.072727272726,0,0,0,0,225.0181818181818,0,0,0,3478.454545454545,2949.8181818181815,278.72727272727275
2019-05-11 13:54:40,3375.781818181818,0,0,125.12727272727271,0,89.92727272727272,198.87272727272727,0,0,4531.90909090909,0,0,0,0,0,0,69.61818181818181,70.05454545454545,506.3818181818181,1960.8181818181815,63.781818181818174,22.636363636363633,0,37.45454545454545,0,2427.272727272727,1957.9818181818182,4459.072727272726,0,0,0,0,225.0181818181818,0,0,0,3478.454545454545,2949.8181818181815,278.72727272727275
2019-05-11 13:54:37,3691.254545454545,0,0,125.12727272727271,0,89.92727272727272,198.87272727272727,0,0,5241.090909090909,0,0,0,0,0,0,69.61818181818181,70.05454545454545,505.4181818181818,2312.672727272727,63.781818181818174,22.636363636363633,0,37.45454545454545,0,2848.0181818181813,2345.472727272727,4994.527272727272,0,0,0,0,225.0181818181818,0,0,0,4094.3090909090906,3483.9636363636364,278.72727272727275
2019-05-11 13:54:34,3872.636363636363,0,0,125.12727272727271,0,89.92727272727272,198.87272727272727,0,0,5865.50909090909,0,0,0,0,0,0,69.61818181818181,70.05454545454545,505.4181818181818,2552.4909090909086,63.781818181818174,22.636363636363633,0,37.45454545454545,0,3291.5454545454545,2795.163636363636,5620.636363636363,0,0,0,0,225.0181818181818,0,0,0,4933.381818181818,3614.763636363636,349.6363636363636
2019-05-11 13:54:31,3872.636363636363,0,0,125.12727272727271,0,89.92727272727272,198.87272727272727,0,0,5865.50909090909,0,0,0,0,0,0,69.61818181818181,70.05454545454545,505.4181818181818,2552.4909090909086,63.781818181818174,22.636363636363633,0,37.45454545454545,0,3291.5454545454545,2795.163636363636,5620.636363636363,0,0,0,0,225.0181818181818,0,0,0,4933.381818181818,3614.763636363636,349.6363636363636
2019-05-11 13:54:28,4245.963636363636,0,0,125.12727272727271,0,89.92727272727272,198.87272727272727,0,0,6417.618181818181,0,0,0,0,0,0,69.61818181818181,70.05454545454545,505.4181818181818,2863.8181818181815,63.781818181818174,22.636363636363633,0,37.45454545454545,0,3833.054545454545,3171.9636363636364,6266.927272727273,0,0,0,0,225.0181818181818,0,0,0,5514.563636363636,4163.090909090909,349.6363636363636
2019-05-11 13:54:25,4245.963636363636,0,0,125.12727272727271,0,89.92727272727272,198.87272727272727,0,0,6417.618181818181,0,0,0,0,0,0,69.61818181818181,70.05454545454545,505.4181818181818,2863.8181818181815,63.781818181818174,22.636363636363633,0,37.45454545454545,0,3833.054545454545,3171.9636363636364,6266.927272727273,0,0,0,0,225.0181818181818,0,0,0,5514.563636363636,4163.090909090909,349.6363636363636
2019-05-11 13:54:22,4398.6909090909085,0,0,125.12727272727271,0,89.92727272727272,198.87272727272727,0,0,6916.163636363636,0,0,0,0,0,0,69.61818181818181,70.05454545454545,505.4181818181818,3041.5636363636363,63.781818181818174,22.636363636363633,0,37.45454545454545,0,4267.490909090909,3687.581818181818,7040.799999999999,0,0,0,0,225.0181818181818,0,0,0,6119.254545454545,4490.472727272727,349.6363636363636
2019-05-11 13:54:19,4680.818181818181,0,0,0,0,70.87272727272726,119.69090909090909,0,0,7577.345454545454,0,0,0,0,0,0,0,15.018181818181818,520.0363636363636,3393.7272727272725,0,0,0,0,0,4623.490909090909,4116.018181818182,7351.036363636363,0,0,0,0,51.85454545454545,0,0,0,6638.254545454545,4708.236363636363,435.9090909090909
2019-05-11 13:54:16,4680.818181818181,0,0,0,0,70.87272727272726,119.69090909090909,0,0,7577.345454545454,0,0,0,0,0,0,0,15.018181818181818,520.0363636363636,3393.7272727272725,0,0,0,0,0,4623.490909090909,4116.018181818182,7351.036363636363,0,0,0,0,51.85454545454545,0,0,0,6638.254545454545,4708.236363636363,435.9090909090909
