key,className,methodName,methodSignature,exceptionType,exceptionIndexNumber,lineIndexNumber,countdown,rate,mode,covered,run times in normal,run times in injection,injection captured in the business log,downloaded the file,exit status,process cpu time(in seconds),average memory usage(in MB),peak thread count,handledBy,distance,stackHeight,foPoint
81E9B5B764F8397D2C152B60C27DBCFD,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,74,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
4D8DB1D338EE8298BBAA880A7F6C65C6,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,85,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
1BD6CB38DB92E681F9F1CE81D123ECD6,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,86,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
65B764E9CE364DD64CD4E259662E172A,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,87,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
E5EE762C011080560F81FE996A9C080D,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,74,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
17B3C45E1497DF306F1D50BC2950BD7C,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,85,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
FBF0309966B80C051487F66D46FFE5E5,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,86,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
76DBAD4BD3C5360711FB17273E0EB86F,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,87,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
716264D3886EF7680EA8E46686B0AEA6,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,74,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
5BF916017F3CA32D021008143377D87B,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,85,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
238EB79BC02BADB556F2E42E1605671E,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,86,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
F692B3323334941729EEA4BC6A9662B2,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,87,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;
BA8DAEC85A32A024242F9A4D1C315F9A,com/turn/ttorrent/client/Client,handlePieceCompleted,(Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V,java/io/IOException,0,829,1,1,throw_e,yes,1,1; normal: 2985,-,no,137,19771,94,113,com/turn/ttorrent/client/peer/SharingPeer/handleMessage - (Lcom/turn/ttorrent/common/protocol/PeerMessage;)V,2,4,com/turn/ttorrent/client/Client/handlePieceCompleted - (Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V
BA8DAEC85A32A024242F9A4D1C315F9A,com/turn/ttorrent/client/Client,handlePieceCompleted,(Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V,java/io/IOException,0,829,1,1,throw_e,yes,1,1; normal: 2985,-,no,137,19771,94,113,com/turn/ttorrent/client/peer/SharingPeer/handleMessage - (Lcom/turn/ttorrent/common/protocol/PeerMessage;)V,2,4,com/turn/ttorrent/client/peer/SharingPeer/firePieceCompleted - (Lcom/turn/ttorrent/client/Piece;)V
67E196B66F8AB2FF91D97CFCAD94F3E6,com/turn/ttorrent/client/Client,handlePieceCompleted,(Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V,java/io/IOException,0,889,1,1,throw_e,yes,1,1; normal: 1219,-,yes,0,4780,88,109,com/turn/ttorrent/client/peer/SharingPeer/handleMessage - (Lcom/turn/ttorrent/common/protocol/PeerMessage;)V,2,4,com/turn/ttorrent/client/Client/handlePieceCompleted - (Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V
67E196B66F8AB2FF91D97CFCAD94F3E6,com/turn/ttorrent/client/Client,handlePieceCompleted,(Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V,java/io/IOException,0,889,1,1,throw_e,yes,1,1; normal: 1219,-,yes,0,4780,88,109,com/turn/ttorrent/client/peer/SharingPeer/handleMessage - (Lcom/turn/ttorrent/common/protocol/PeerMessage;)V,2,4,com/turn/ttorrent/client/peer/SharingPeer/firePieceCompleted - (Lcom/turn/ttorrent/client/Piece;)V
7B315B1C334BE5C58325C7F8635B539F,com/turn/ttorrent/client/SharedTorrent,fromFile,(Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;,java/io/IOException,0,278,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/client/SharedTorrent/fromFile - (Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;
488465620B87F2858C708B9596F78E94,com/turn/ttorrent/client/SharedTorrent,fromFile,(Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;,java/io/IOException,0,279,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/client/SharedTorrent/fromFile - (Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;
51756F2FC76D9E7C0C8096E464EF8694,com/turn/ttorrent/client/SharedTorrent,fromFile,(Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;,java/security/NoSuchAlgorithmException,1,278,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/client/SharedTorrent/fromFile - (Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;
ACD26A2D98E78A63AD10959744C9CA28,com/turn/ttorrent/client/SharedTorrent,fromFile,(Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;,java/security/NoSuchAlgorithmException,1,279,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/client/SharedTorrent/fromFile - (Ljava/io/File;Ljava/io/File;)Lcom/turn/ttorrent/client/SharedTorrent;
FBDCD8AB023B379ED814948817D29F0A,com/turn/ttorrent/client/SharedTorrent,init,()V,java/lang/InterruptedException,0,365,1,1,throw_e,yes,1,1; normal: 0,-,no,137,2399,6,10,com/turn/ttorrent/client/Client/run - ()V,1,3,com/turn/ttorrent/client/SharedTorrent/init - ()V
D641F42391898433C390E3F03ADB0C4D,com/turn/ttorrent/client/SharedTorrent,init,()V,java/lang/InterruptedException,0,369,1,1,throw_e,yes,1,1; normal: 0,-,no,137,1679,7,10,com/turn/ttorrent/client/Client/run - ()V,1,3,com/turn/ttorrent/client/SharedTorrent/init - ()V
DBA3DDDC006D229478DB9728C0DBB003,com/turn/ttorrent/client/SharedTorrent,init,()V,java/lang/InterruptedException,0,370,1,1,throw_e,yes,1,1; normal: 0,-,no,137,2168,7,10,com/turn/ttorrent/client/Client/run - ()V,1,3,com/turn/ttorrent/client/SharedTorrent/init - ()V
