key,className,methodName,methodSignature,exceptionType,exceptionIndexNumber,lineIndexNumber,countdown,rate,mode,covered,run times in normal,run times in injection,injection captured in the business log,downloaded the file,exit status,process cpu time(in seconds),average memory usage(in MB),peak thread count,handledBy,distance,stackHeight,foPoint,run times in fo,downloaded the file in fo,exit status in fo,process cpu time(in seconds) in fo,average memory usage(in MB) in fo,peak thread count in fo
81E9B5B764F8397D2C152B60C27DBCFD,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,74,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1036,112,124
4D8DB1D338EE8298BBAA880A7F6C65C6,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,85,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1347,78,118
1BD6CB38DB92E681F9F1CE81D123ECD6,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,86,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1356,71,119
65B764E9CE364DD64CD4E259662E172A,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,87,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1260,45,122
E5EE762C011080560F81FE996A9C080D,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,74,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1218,85,122
17B3C45E1497DF306F1D50BC2950BD7C,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,85,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1138,75,120
FBF0309966B80C051487F66D46FFE5E5,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,86,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1456,76,123
76DBAD4BD3C5360711FB17273E0EB86F,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,87,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1022,82,120
716264D3886EF7680EA8E46686B0AEA6,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,74,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1437,69,113
5BF916017F3CA32D021008143377D87B,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,85,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1130,68,122
238EB79BC02BADB556F2E42E1605671E,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,86,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1405,67,117
F692B3323334941729EEA4BC6A9662B2,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,87,1,1,throw_e,yes,1,1; normal: 0,-,no,2,0,0,0,com/turn/ttorrent/cli/ClientMain/main - ([Ljava/lang/String;)V,1,2,com/turn/ttorrent/cli/ClientMain/getIPv4Address - (Ljava/lang/String;)Ljava/net/Inet4Address;,1(fo 1); normal: 0,yes,0,1583,70,117
BA8DAEC85A32A024242F9A4D1C315F9A,com/turn/ttorrent/client/Client,handlePieceCompleted,(Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V,java/io/IOException,0,829,1,1,throw_e,yes,1,1; normal: 2985,-,no,137,19771,94,113,com/turn/ttorrent/client/peer/SharingPeer/handleMessage - (Lcom/turn/ttorrent/common/protocol/PeerMessage;)V,2,4,com/turn/ttorrent/client/Client/handlePieceCompleted - (Lcom/turn/ttorrent/client/peer/SharingPeer;Lcom/turn/ttorrent/client/Piece;)V,2(fo 2); normal: 1154,no,137,10839,54,120
