timestamp,accept,bind,brk,clone,close,connect,dup,exit,fcntl,futex,getpid,getsockname,getsockopt,ioctl,list,lseek,madvise,mmap,mprotect,munmap,newfstat,newlstat,newstat,open,poll,read,recvfrom,recvmsg,select,sendto,setsockopt,shutdown,socket,syscall,write
2019-05-09 00:36:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,328.5162133333333,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,454.8362133333333,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,561.8794199999999,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,684.00942,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,757.22848,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,825.9454449999998,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,934.6129450000001,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1063.8882760000001,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1174.702276,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1218.8047088888889,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1247.6280085714286,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1346.6408657142856,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1427.9634508333334,0,0,0,0,0,0,0,0,0,0,0,0
2019-05-09 00:36:03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1525.7647008333333,0,0,0,0,0,0,0,0,0,0,0,0
