timestamp,ttorrent-ubuntu
2019-05-12 02:01:54,2473929.1636363636
2019-05-12 02:01:51,2446784.0142548047
2019-05-12 02:01:48,2446784.0142548047
2019-05-12 02:01:45,2494959.9818181815
2019-05-12 02:01:42,2474545.657866026
2019-05-12 02:01:39,2474545.657866026
2019-05-12 02:01:36,2375262.054545454
2019-05-12 02:01:33,2375262.054545454
2019-05-12 02:01:30,2395926.5090909093
2019-05-12 02:01:27,2453252.5636363635
2019-05-12 02:01:24,2453252.5636363635
2019-05-12 02:01:21,2464724.5272727273
2019-05-12 02:01:18,2464724.5272727273
2019-05-12 02:01:15,2426930.5636363635
2019-05-12 02:01:12,2418524.7818181817
2019-05-12 02:01:09,2418524.7818181817
2019-05-12 02:01:06,2406269.9090909087
2019-05-12 02:01:03,2406269.9090909087
2019-05-12 02:01:00,2398798.4727272727
2019-05-12 02:00:57,2377307.085325721
2019-05-12 02:00:54,2377307.085325721
2019-05-12 02:00:51,2348481.509090909
2019-05-12 02:00:48,2348481.509090909
2019-05-12 02:00:45,2415964.8389208056
2019-05-12 02:00:42,2440056.182839688
2019-05-12 02:00:39,2440056.182839688
2019-05-12 02:00:36,2390077.3636363638
2019-05-12 02:00:33,2390077.3636363638
2019-05-12 02:00:30,2371383.272727273
2019-05-12 02:00:27,2415149.018181818
2019-05-12 02:00:24,2415149.018181818
2019-05-12 02:00:21,2399126.202294587
2019-05-12 02:00:18,2399126.202294587
2019-05-12 02:00:15,2487039.8545454545
2019-05-12 02:00:12,2452845.254545454
2019-05-12 02:00:09,2452845.254545454
2019-05-12 02:00:06,2482036.3097510864
2019-05-12 02:00:03,2482036.3097510864
2019-05-12 02:00:00,2484691.236363636
2019-05-12 01:59:57,2527046
2019-05-12 01:59:54,2527046
2019-05-12 01:59:51,2519227.836363636
2019-05-12 01:59:48,2519227.836363636
2019-05-12 01:59:45,2549211.3052489953
2019-05-12 01:59:42,2573140.5636363635
2019-05-12 01:59:39,2573140.5636363635
2019-05-12 01:59:36,2582870.0838227537
2019-05-12 01:59:33,2582870.0838227537
2019-05-12 01:59:30,2554385.7818181817
2019-05-12 01:59:27,2624860.002545408
2019-05-12 01:59:24,2624860.002545408
2019-05-12 01:59:21,2494290.4181818175
2019-05-12 01:59:18,2494290.4181818175
2019-05-12 01:59:15,2587721.2181818183
2019-05-12 01:59:12,2568821.0759804365
2019-05-12 01:59:09,2568821.0759804365
2019-05-12 01:59:06,2562423.690909091
2019-05-12 01:59:03,2562423.690909091
2019-05-12 01:59:00,2547774.2504409174
2019-05-12 01:58:57,2515724.5768104875
2019-05-12 01:58:54,2515724.5768104875
2019-05-12 01:58:51,2482399.5999999996
2019-05-12 01:58:48,2482399.5999999996
2019-05-12 01:58:45,2521865.2
2019-05-12 01:58:42,2455892.3149646386
2019-05-12 01:58:39,2455892.3149646386
2019-05-12 01:58:36,2418289.0533409086
2019-05-12 01:58:33,2418282.021522727
2019-05-12 01:58:30,2376572.12744
2019-05-12 01:58:27,2429915.9249752522
2019-05-12 01:58:24,2396790.229373737
2019-05-12 01:58:21,2224470.638124621
2019-05-12 01:58:18,2111320.119260985
2019-05-12 01:58:15,2000576.914412987
2019-05-12 01:58:12,1879401.1304933333
2019-05-12 01:58:09,1775016.8984933335
2019-05-12 01:58:06,1622927.857216785
2019-05-12 01:58:03,1521524.2169877354
2019-05-12 01:58:00,1369865.0530154333
2019-05-12 01:57:57,1240315.5175936508
2019-05-12 01:57:54,1144940.0623555554
2019-05-12 01:57:51,956277.5166916664
2019-05-12 01:57:48,869378.5116916666
2019-05-12 01:57:45,765347.6682344445
2019-05-12 01:57:42,626026.5738375
