strace: option requires an argument -- 'p'
Try 'strace -h' for more information.
Picked up JAVA_TOOL_OPTIONS:  -javaagent:/home/elastic/elastic-apm-agent-1.30.1.jar -Delastic.apm.log_ecs_reformatting=OVERRIDE
[pid   209] 1652626335.401263 stat("/app/com/datastax/driver/core/BoundStatement.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000030>
[pid   209] 1652626335.402897 stat("/app/org/grails/web/mapping/mvc/GrailsControllerUrlMappingInfo.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626335.410293 stat("/app/org/hibernate/search/FullTextQuery.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000029>
[pid   209] 1652626335.415295 stat("/app/io/javalin/http/Handler.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000062>
[pid   209] 1652626335.415947 stat("/app/io/javalin/http/Handler.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.417465 stat("/app/javax/ws/rs/Path.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.420795 stat("/app/jakarta/ws/rs/Path.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000051>
[pid   209] 1652626335.421651 stat("/app/jakarta/jws/WebService.class", 0x7feb570d8cf0) = -1 ENOENT (No such file or directory) <0.000028>
[pid   209] 1652626335.429548 stat("/app/javax/jms/Message.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000032>
[pid   209] 1652626335.430191 stat("/app/javax/jms/Message.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.430846 stat("/app/javax/jms/Message.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000031>
[pid   209] 1652626335.431484 stat("/app/javax/jms/Message.class", 0x7feb570d8d00) = -1 ENOENT (No such file or directory) <0.000030>
