key,className,methodName,methodSignature,exceptionType,exceptionIndexNumber,lineIndexNumber,countdown,rate,mode,covered,run times in normal,run times in injection,injection captured in the business log,successfully send the mail,exit status,process cpu time(in seconds),average memory usage(in MB),peak thread count,handledBy,distance,stackHeight,foPoint
43480801210872E0EEE2F160656FA3A1,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,126,1,1,off,yes,1,1; normal: 2,-,false,-,395,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/mailet/ToRepository/saveMessage - (Ljava/lang/String;Lcom/hs/mail/imap/message/MailMessage;)V
43480801210872E0EEE2F160656FA3A1,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,126,1,1,off,yes,1,1; normal: 2,-,false,-,395,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
44D2AEB951FF47CC6ADD78409B36CB54,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,128,1,1,off,yes,1,1; normal: 4,-,false,-,404,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/container/config/Config/getDataFile - (Ljava/util/Date;J)Ljava/io/File;
44D2AEB951FF47CC6ADD78409B36CB54,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,128,1,1,off,yes,1,1; normal: 4,-,false,-,404,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/imap/message/MailMessage/save - (Ljava/io/InputStream;)V
44D2AEB951FF47CC6ADD78409B36CB54,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,128,1,1,off,yes,1,1; normal: 4,-,false,-,404,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/mailet/ToRepository/saveMessage - (Ljava/lang/String;Lcom/hs/mail/imap/message/MailMessage;)V
44D2AEB951FF47CC6ADD78409B36CB54,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,128,1,1,off,yes,1,1; normal: 4,-,false,-,404,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
4864CF105418E0EF85F252B09AA1D14A,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,129,1,1,off,yes,1,1; normal: 2,-,false,-,414,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/container/config/Config/getDataFile - (Ljava/util/Date;J)Ljava/io/File;
4864CF105418E0EF85F252B09AA1D14A,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,129,1,1,off,yes,1,1; normal: 2,-,false,-,414,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/imap/message/MailMessage/save - (Ljava/io/InputStream;)V
4864CF105418E0EF85F252B09AA1D14A,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,129,1,1,off,yes,1,1; normal: 2,-,false,-,414,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/mailet/ToRepository/saveMessage - (Ljava/lang/String;Lcom/hs/mail/imap/message/MailMessage;)V
4864CF105418E0EF85F252B09AA1D14A,com/hs/mail/container/config/Config,getDataFile,(Ljava/util/Date;J)Ljava/io/File;,java/io/IOException,0,129,1,1,off,yes,1,1; normal: 2,-,false,-,414,12,27,com/hs/mail/mailet/ToRepository/service - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V,4,13,com/hs/mail/mailet/ToRepository/deliver - (Ljava/util/Set;Lcom/hs/mail/smtp/message/SmtpMessage;)V
