base-image:version,count
java:8,112
openjdk:8-jdk-alpine,106
openjdk:12.0.2,97
java:8-jre,70
openjdk:8-jre-alpine,67
openjdk:8-jre,44
frolvlad/alpine-oraclejdk8:slim,38
java:8-jre-alpine,35
openjdk:8,35
busybox:latest,28
ubuntu:18.04,28
ubuntu:16.04,28
scratch,25
alpine,23
ubuntu:14.04,23
openjdk:8u151-jre-alpine,21
tomcat:8-jre8-alpine,20
openjdk:8-jdk,19
java:8-jdk-alpine,17
java:8-jdk,16
openjdk:15-slim-buster,16
glassfish:4.1,16
openjdk:8u171-alpine3.7,16
java:openjdk-8u111-alpine,15
anapsix/alpine-java:8_server-jre_unlimited,14
pnoker/alpine-java:1.8.251,14
centos:7,13
openjdk:8-alpine,13
ubuntu,13
openjdk:10.0.2-jre-slim,13
anapsix/alpine-java:8_jdk,12
openjdk:8u171-jre-alpine,12
java:7,12
openj9:latest,12
openjdk:8u151-jre-alpine3.7,12
busybox,11
nicodeur/glassfish:5.0-web,11
vertx/vertx3,11
fabric8/java-alpine-openjdk8-jre,11
jerverless/jerverless:latest,11
adoptopenjdk/openjdk11:alpine-jre,11
gcr.io/distroless/java:11,11
cloudunit/base-jessie,10
debian:jessie,10
java,10
java:alpine,9
openjdk:8u121-jdk-alpine,9
registry.cn-hangzhou.aliyuncs.com/springcloud-cn/java:8u172-jre-alpine,9
adoptopenjdk:11-jre-hotspot,9
oracle/glassfish:5.0-web,9
openjdk:8u171-jre-alpine3.8,9
nginx,9
azul/zulu-openjdk-alpine:11,9
openjdk:8u212-jre,9
adoptopenjdk/openjdk11-openj9:jdk-11.0.1.13-alpine-slim,8
openjdk:11,8
maven:3.3.9-jdk-8,8
alpine:latest,8
ubuntu:xenial,8
centos:latest,7
maven:3.6.1-jdk-8,7
openjdk:11.0.2-jre-slim,7
docker-private.infra.cloudera.com/cloudera_base/openjdk:11.0.6-jdk-slim-buster,7
maven:3-jdk-8,7
adoptopenjdk/openjdk8-openj9:alpine-slim,7
maven:3-jdk-8-alpine,7
ubuntu:bionic,7
eventuateio/eventuate-examples-docker-images-java-example-base-image:$baseImageVersion,7
maven:3.6-jdk-8-slim,6
openjdk,6
flink-statefun:2.2-SNAPSHOT,6
ubuntu:trusty,6
openjdk:8-jre-slim,6
,6
mysql:5.7,6
openjdk:11-jre,6
openjdk:8u212-jdk-stretch,6
alpine:3.4,6
openjdk:13-jdk-alpine,6
mysql:5.6,5
maven:3.6-jdk-11,5
outofcoffee/imposter-base:${BASE_IMAGE_TAG},5
${BASE_IMAGE},5
centos,5
openjdk:11.0.1-jre-slim-sid,5
openzipkin/jre-full:11.0.6-11.37,5
tomcat:7.0.75-jre8,5
registry.cn-hangzhou.aliyuncs.com/springcloud-cn/alpine-3.7:glibc-2.27-r0,5
java:openjdk-8u91-jdk,5
base,5
hub.c.163.com/wuxukun/maven-aliyun:3-jdk-8,4
fancybing/java:serverjre-8,4
alpine:3.3,4
debian,4
confluentinc/cp-base:5.3.1,4
openjdk:8u201-jre-alpine,4
$BASE_IMAGE,4
openj9-jitserver-build:latest,4
alpine:3.7,4
jboss/base-jdk:8,4
alpine:3.2,4
lucida_base,4
tomcat:8.0.51-jre8-alpine,4
alpine:3.10,4
debian:stretch-slim,4
node:latest,4
openjdk:11-jre-slim,4
golang:1.10,4
stratos/base-image:4.1.5,4
openjdk:8-jdk-stretch,3
adoptopenjdk:11-jdk-hotspot,3
adoptopenjdk/openjdk11:jdk-11.0.4_11-alpine,3
${TEST_IMAGE},3
@docker.account@/java-base,3
eventuateio/eventuate-mysql:$EVENTUATE_COMMON_VERSION,3
stateful-functions,3
amazonlinux,3
maven:latest,3
openjdk:8-jdk-slim,3
sonatype/nexus3:$NEXUS_VERSION,3
python:3.7-alpine,3
alpine:3.11,3
node:9.11.1-alpine,3
openjdk:7,3
java:latest,3
jenkins/java:d93654cc6239,3
eventuateio/eventuate-postgres:$EVENTUATE_COMMON_VERSION,3
walmartlabs/concord-base:$concord_version,3
python:3-alpine,3
node:8-alpine,3
openjdk:8u131-jre,3
sdaschner/wildfly:javaee8-kafka-b1,3
debian:9,3
node:12-alpine,3
maven:3.5-jdk-8,3
openjdk:8u181-jdk-alpine3.8,3
daggerok/jboss:eap-7.1,3
nginx:alpine,3
fabric8/s2i-java:latest-java11,3
frolvlad/alpine-oraclejdk8,3
maven:3.5-jdk-8-alpine,3
maven:3.6.3-jdk-8-slim,3
dinkel/openldap:latest,3
openjdk:8u252-slim-buster,3
photon:2.0,3
livingobjects/jre8,3
maven:3.5.4-jdk-8,3
node:12.16.3-alpine3.11,3
platten/alpine-oracle-jre8-docker:latest,3
build,3
java:8u111-jdk,2
openjdk:8u131-jre-alpine,2
golang:1.13.7-alpine3.11,2
ubuntu:12.04,2
maven:3.5.4,2
openjdk:11-jre-slim-buster,2
nginx:1.9.10,2
node:alpine,2
@docker.account@/jetty-base,2
codingtony/java,2
maven:3.6.0-jdk-11-slim,2
docker.io/hyperledger/fabric-ca:x86_64-1.0.6,2
openjdk:7-jdk,2
debian:testing,2
openjdk:14,2
ubuntu:16.10,2
mcr.microsoft.com/dotnet/core/aspnet:3.0-buster-slim,2
runner,2
node:8-onbuild,2
