base_image,versions
maven,"['3.5-jdk-8' '3.5-jdk-8' '3.5.4-jdk-8' '3-jdk-11-slim' '3-jdk-11-slim'
 '3.6.3-jdk-8' '3.6.3-jdk-8' '3.5-jdk-11' '3.5-jdk-8-alpine'
 '3.6.3-jdk-11' '3.6.3-jdk-11' '3-jdk-11' '3.6.3-openjdk-8-slim'
 '3.5.4-jdk-8' '3.6-jdk-8-slim' '3.6-jdk-8-slim' '3.3.1-jdk-8'
 '3.5.0-jdk-7-alpine' '3.5.4-jdk-11' '3-jdk-8' '3-jdk-8' '3-jdk-8-alpine'
 '' '3.5.4' '3.5.4' '3' '' 'latest' '3.6.1-amazoncorretto-8'
 '3-jdk-8-alpine' '3.5-jdk-8' '3.6.0-jdk-8-alpine' '3.6.0-jdk-11-slim'
 '3.3.9-jdk-8' '3.6-jdk-8-slim' '3.3.9-jdk-8' '3.3.9-jdk-8' '3.3.9-jdk-8'
 '3.6.1-jdk-8' 'latest' '3.5.4-jdk-11-slim' '3.5.4-jdk-8' '3-jdk-8'
 '3-jdk-8' '3.5.3-jdk-10-slim' '3.5.4-jdk-8-alpine' '3-jdk-8' 'alpine'
 '3.6.3-jdk-8-slim' '3.6.3-jdk-8-slim' '3.6.3-jdk-8-slim' '3.3.9-jdk-8'
 '3.5.2-jdk-8-slim' '3' '3.3-jdk-8' '3-jdk-8' '3-jdk-8-slim' '3.6.1-jdk-8'
 '3.6.1-jdk-8' '3.6.1-jdk-8' '3.6.1-jdk-8' '3.6.1-jdk-8' '3.6.1-jdk-8'
 '3.5.2-jdk-8' '3-jdk-8-alpine' '3.5-jdk-8' '3.3.9-jdk-8' '3.3.9-jdk-8'
 '3.3.9-jdk-8' '3.6.1-jdk-11' '3.5-jdk-8-alpine' '3.6-jdk-8' '3.6.0-jdk-8'
 '3.5.0-jdk-8-alpine' '3.5-jdk-8-alpine' '3-jdk-8-alpine'
 '3.6.3-jdk-11-slim' '3.6-jdk-11' '3.6-jdk-11' '3.6-jdk-11' '3.6-jdk-11'
 '3.6-jdk-11' '3.6.0-jdk-11' '3.6.1-jdk-11' '${MAVEN_VERSION}'
 '3.6.0-jdk-11-slim' '3-jdk-8-alpine' '3-alpine' '3-jdk-8'
 '3-jdk-8-alpine' '3-ibmjava-8-alpine' 'latest' '3-jdk-8-alpine'
 '3.5.3-jdk-8-slim' '3.5.3-jdk-8-alpine' '3-jdk-8-onbuild' '3-alpine'
 '3.6-jdk-8-slim' '3.6-jdk-8-slim' '3.6-jdk-8-slim']"
openjdk,"['8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8u232-jre-stretch'
 '8-jdk-alpine' '8' '8-jdk-stretch' '8-jre-alpine' '8-jre-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '11.0-jre' '8-jdk' '8-jdk' '8-jre-alpine'
 '8-jdk' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre'
 '8-jre' '8-alpine' '8' '8-stretch' '8-jre-alpine' '8' '8' '8-jdk-alpine'
 '11' '8-jre-alpine' '8-jdk-alpine' '8-jre-alpine'
 '11.0.1-jre-slim-stretch' '8-jdk-alpine' '11-jre-slim' '8-jre' '11-jre'
 '11-jre' '11-jre' '11-jre' 'jre' '8-alpine' '8-alpine' '8-alpine'
 '8-jre-alpine' '8-jdk-alpine' '8u171-jre-alpine' '8u171-jre-alpine'
 '8u171-jre-alpine' '8u171-jre-alpine' '8u171-jre-alpine'
 '8u171-jre-alpine' '8u171-jre-alpine' '8-jre' '12.0.1-jdk-oraclelinux7'
 '8u212-jdk' '8u212-jre-slim' '14-jdk-alpine3.10' '14-jdk-alpine3.10'
 '8-jre-alpine' '8-jre' '8-jdk-alpine' '8-jre-slim' '8u212-jre'
 '8u212-jre' '8u212-jre' '8u212-jre' '8u212-jre' '8u212-jre' '8u212-jre'
 '8u212-jre' '7-jre-alpine' '11' '11-jdk-slim' '7' '8-jre' '8' '8-alpine'
 '8-jdk-alpine' '8-alpine' '8-alpine' '8-jre-alpine' '11-jdk-slim' '8-jdk'
 '8u212-jdk-stretch' '8u212-jdk-stretch' '8-jdk-stretch' '8-jdk-stretch'
 '8u212-jdk-stretch' '8u212-jdk-stretch' '8u212-jdk-stretch'
 '8u212-jdk-stretch' '8u201-jdk-alpine3.9' '10.0.2-jre-slim'
 '10.0.2-jre-slim' '10.0.2-jre-slim' '10.0.2-jre-slim' '10.0.2-jre-slim'
 '10.0.2-jre-slim' '10.0.2-jre-slim' '14-alpine' '8-jre' '8-jre' '8-jre'
 '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre' '8-jre'
 '8u181-jdk-alpine3.8' '12-alpine' '8-jre-slim' '8-jdk' '8-jre-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '11' '8u121-jdk-alpine' '8u121-jdk-alpine'
 '8u121-jdk-alpine' '8u121-jdk-alpine' '8u121-jdk-alpine'
 '8u121-jdk-alpine' '8u121-jdk-alpine' '8u121-jdk-alpine'
 '8u121-jdk-alpine' '8-alpine' '11' '11-jre-slim' '8-jdk-alpine'
 '8-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '11-jre-slim' '8-jre-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '' '' '11.0.2-jre-slim' '11.0.2-jre-slim'
 '11.0.2-jre-slim' '8u171-alpine3.7' '8-jre-alpine' '8-jdk-alpine'
 '8u252-jre-slim-buster' '8-jre-alpine' '8-jre' '8-jre' '8-jdk-alpine' '8'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '14-ea-12-jdk-alpine3.10' '11-jdk-slim-buster'
 '11-jre-slim-buster' '11-jdk' '11-jre' '8' '8u171-alpine3.7'
 '8u171-alpine3.7' '8u171-alpine3.7' '8u171-alpine3.7' '8u171-alpine3.7'
 '8u171-alpine3.7' '' '' '' '' '8' '8' '8-alpine' '11-slim' '11-jdk'
 '8-jre-alpine' '8-jre-alpine' '8' '8-jre-alpine' '8' '8' '8'
 '8u111-jre-alpine' '8u201-jre-alpine' '8u171-jre-alpine'
 '8u201-jre-alpine' '8u171-jre-alpine' '8u151-jre-alpine'
 '8u121-jre-alpine' '8u151-jre-alpine' '8u201-jre-alpine'
 '8u181-jre-alpine' '8u151-jre-alpine' '8u201-jre-alpine'
 '8u171-jre-alpine' '8-jdk-alpine' 'alpine' '8u212-jre' '8u171-alpine3.7'
 '8u171-alpine3.7' '8u171-alpine3.7' '8u171-alpine3.7' '8u171-alpine3.7'
 '8u171-alpine3.7' '8u171-alpine3.7' '8-alpine' '8u171-alpine3.7'
 '8u171-alpine3.7' '8-jre-alpine' '10.0.1-10-jre-slim' '8-jre'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '15-slim-buster' '15-slim-buster' '15-slim-buster' '15-slim-buster'
 '15-slim-buster' '15-slim-buster' '15-slim-buster' '15-slim-buster'
 '15-slim-buster' '15-slim-buster' '15-slim-buster' '15-slim-buster'
 '15-slim-buster' '15-slim-buster' '15-slim-buster' '15-slim-buster'
 '8-jre-alpine' '8-jdk-alpine' '8' '8' '8' '8' '8' '8' '8' '8'
 '8u252-slim-buster' '8u252-slim-buster' '8-jdk-alpine'
 '8u252-slim-buster' '8-jre-alpine' '8u212-jre-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '12'
 '8u181-jre' '8' '8-jre' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jre' '8' '8' '11.0.7-jre-slim' '8-jdk'
 '8-jre-slim' '8-jdk-alpine' '14' '14' '11-oracle' '8-jre-alpine' 'alpine'
 '11' '8-jdk' '8-jdk-alpine' '8-jre-alpine' '8-jre-alpine' '11.0.2-jdk'
 '11-jre' '8-jdk-alpine' '8u212-jre-alpine' '8-jdk' '8-jre-alpine' '8' '8'
 '8u181-jdk-alpine3.8' '8u181-jdk-alpine3.8' '8-jdk' '8-jdk' '7' '8'
 '8-jdk' '7' '8-jdk' '8' '7-jdk' '8u131-jre' '8u131-jdk-alpine'
 '8u131-jre' '8u131-jre' '11' '8-jdk' '8-jdk' '8-jdk' '8-jdk' '8-jdk'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jre'
 '8-jre' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8u171-jdk-alpine'
 '8u171-jre-alpine' '8-jre-alpine' '11-jre-slim' '10.0.2-jre-slim'
 '10.0.2-jre-slim' '10.0.2-jre-slim' '11.0.2-jre-slim-stretch' '8-jre'
 '8-jre' '8-jre' '8-jre' '8-jdk-alpine' '8-jdk' '8-jre-alpine' '8'
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre' '11-jre-slim-buster'
 '8u171-jre-alpine' '8u171-jre' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2'
 '12.0.2' '12.0.2' '12.0.2' '12.0.2' '12.0.2' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '11.0.2-jre-slim' '11.0.2-jre-slim' '11.0.2-jre-slim' '11.0.2-jre-slim'
 '11' '11-jre-stretch' '8-jdk' '8-jdk-alpine' '8-jre' '8-jre'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '11' '8' '8-jre-slim'
 '8-jre-slim' '8-jre-slim' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8' '8-jdk-alpine' '8' '8-jdk-alpine' '8-jdk-alpine'
 '8u151-jdk-alpine3.7' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '11.0.5-jre-slim-buster' '8-jre-alpine' '8-jre' '8-jre'
 '8-jre' '8-jdk-alpine' '11.0.1-jre-slim-sid' '11.0.1-jre-slim-sid'
 '11.0.1-jre-slim-sid' '11.0.1-jre-slim-sid' '11.0.1-jre-slim-sid'
 '8-alpine' '8-jre-alpine' '8-jre-alpine' '8' '8-jre-alpine'
 '10.0.2-jre-slim' '10.0.2-jre-slim' '10.0.2-jre-slim' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jdk-slim' '8-jdk-slim' '8-jre-alpine'
 '11-oracle' '8' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-alpine'
 '8-jre-alpine' '8-jdk-alpine' '8-jre-alpine' '8-jdk-slim' '8-jre' '8-jre'
 '13-jdk-alpine' '13-jdk-alpine' '13-jdk-alpine' '13-jdk-alpine'
 '13-jdk-alpine' '13-jdk-alpine' '11.0.7-jre-slim-buster' '8' '7-jdk'
 '8-jre' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine' '8-jdk-alpine'
 '8-jdk-alpine' '8-jre-alpine' '8-jre-alpine' '8-jre-alpine'
 '8-jre-alpine' '8u151-jre-alpine3.7' '8u151-jre-alpine3.7'
 '8u151-jre-alpine3.7' '8u151-jre-alpine3.7' '8u151-jre-alpine'
 '8u151-jre-alpine' '8u151-jre-alpine3.7' '8u151-jre-alpine3.7'
 '8u151-jre-alpine3.7' '8u151-jre-alpine3.7' '8u171-jre-alpine3.8'
 '8u171-jre-alpine3.8' '8u171-jre-alpine3.8' '8u151-jre-alpine'
 '8u151-jre-alpine' '8u151-jre-alpine3.7' '8u151-jre-alpine3.7'
 '8u151-jre-alpine3.7' '8u151-jre-alpine3.7' '8u151-jre-alpine'
 '8u151-jre-alpine' '8u151-jre-alpine' '8u151-jre-alpine'
 '8u151-jre-alpine' '8u171-jre-alpine3.8' '8u171-jre-alpine3.8'
 '8u151-jre-alpine' '8u171-jre-alpine3.8' '8u171-jre-alpine3.8'
 '8u151-jre-alpine' '8u131-jre-alpine' '8u131-jre-alpine'
 '8u151-jre-alpine' '8u151-jdk-alpine' '8u151-jre-alpine'
 '8u151-jre-alpine' '8u171-jre-alpine3.8' '8u171-jre-alpine3.8'
 '8u151-jre-alpine' '8u151-jre-alpine' '8u151-jre-alpine'
 '8u151-jre-alpine' '8u111-jre-alpine']"
jenkins/jenkins,['latest' 'latest' 'lts-alpine' '$jenkins_tag' 'lts' '2.107.3-alpine']
centos,"['centos6.10' 'centos6.10' '8' 'centos7.6.1810' 'centos6.9' '7' '7' '' ''
 '' 'centos6.9' 'centos6' 'centos7' '7' '7' '8' 'latest' '7' '7' '7' '7'
 'latest' 'latest' 'latest' 'latest' 'latest' 'latest' '' '7' '' '7' '7'
 '7' '7' 'centos7' 'centos7.3.1611']"
canal/osbase,['v2' 'v2']
tomcat,"['8.5.42-jdk8-openjdk' '8.5.42-jdk8-openjdk' '9-jdk11' '8.0-jre8' 'alpine'
 '8' '8' '8-jre11-slim' '8-jre8' '8-jre8' '9-alpine' '9.0.10-jre8'
 '8.5.38-alpine' '8.0.51-jre8-alpine' '8.0.51-jre8-alpine' '7.0.75-jre8'
 '7.0.75-jre8' '7.0.75-jre8' '7.0.75-jre8' '7.0.75-jre8' '8-jre8-alpine'
 '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine'
 '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine'
 '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine'
 '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine'
 '8-jre8-alpine' '8-jre8-alpine' '8-jre8-alpine' '8.0.51-jre8-alpine'
 '8.0.51-jre8-alpine' '9-jre8-alpine' '9.0.20-jre11-slim'
 '9-jdk11-openjdk-slim' '8.0.30-jre8' '9-jre11']"
scratch,"['' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' '' ''
 '' '']"
openzipkin/jre-full,"['1.8.0_212' '1.8.0_212' '11.0.6-11.37' '11.0.6-11.37' '11.0.6-11.37'
 '11.0.6-11.37' '11.0.6-11.37' '1.8.0_212']"
alpine,"['' '' '' '' '' 'latest' 'latest' '3.10.2' '3.2' '3.7' '3.2' '3.2' '3.2'
 '3.8' '' '' '' 'latest' '' 'latest' '3.7' '3.4' '3.11' '3.7' '3.11.5'
 '3.6' '3.3' '3.11.6' '3.11.6' '' '3.5' 'latest' '3.11' '3.10' '3.10'
 '3.4' '3.4' '3.4' '3.4' '' '' '' '' '' '' '' '' '' '3.3' '3.3' '3.3'
 '3.10' '3.10' '3.8' '3.7' '3.11' '' 'edge' 'latest' '' '' '' '' '3.4' '3'
 'latest' 'latest']"
openzipkin/zipkin-builder,['' '']
