key,className,methodName,methodSignature,exceptionType,exceptionIndexNumber,lineIndexNumber,countdown,rate,mode,covered,run times in normal,run times in injection,injection captured in the business log,downloaded the file,exit status,process cpu time(in seconds),average memory usage(in MB),peak thread count
7D788B2893242DA688F9C4A3301E0DE1,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,69,1,1,throw_e,yes,1,-,-,-,-,-,-,-
A01389511900178140C82BADD65EAF1C,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,80,1,1,throw_e,yes,1,-,-,-,-,-,-,-
51DB7611D6F60CACDA2ED840DC90F099,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,81,1,1,throw_e,yes,1,-,-,-,-,-,-,-
20AA38B5CF07D99CBE60CC1C289E8E5D,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/SocketException,0,82,1,1,throw_e,yes,1,-,-,-,-,-,-,-
703972CE69B26A993BA753B6884AE8E7,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,69,1,1,throw_e,yes,1,-,-,-,-,-,-,-
03BF8C977607A1A95CEC1270F48559DE,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,80,1,1,throw_e,yes,1,-,-,-,-,-,-,-
58221B47FC7F0E75BE23346ACFA963F1,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,81,1,1,throw_e,yes,1,-,-,-,-,-,-,-
82E4EC06CC30032740A3751EAC4478C1,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/nio/channels/UnsupportedAddressTypeException,1,82,1,1,throw_e,yes,1,-,-,-,-,-,-,-
EA7A955ACCEF0BF23709A1114A9F0CC2,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,69,1,1,throw_e,yes,1,-,-,-,-,-,-,-
151FD1FF39407A153C9DC32E23221C59,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,80,1,1,throw_e,yes,1,-,-,-,-,-,-,-
F481E1079226405BFB79FEB5156E7B46,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,81,1,1,throw_e,yes,1,-,-,-,-,-,-,-
D6C769DB0C734DB47C535A170D28ABF2,com/turn/ttorrent/cli/ClientMain,getIPv4Address,(Ljava/lang/String;)Ljava/net/Inet4Address;,java/net/UnknownHostException,2,82,1,1,throw_e,yes,1,-,-,-,-,-,-,-
491F62C4C2671637617B9449AAC2354A,com/turn/ttorrent/client/SimpleClient,downloadTorrent,(Ljava/lang/String;Ljava/lang/String;Ljava/net/InetAddress;)V,java/io/IOException,0,60,1,1,throw_e,yes,1,-,-,-,-,-,-,-
4BC18590A8908D8D9E300D1B6402F406,com/turn/ttorrent/client/SimpleClient,downloadTorrent,(Ljava/lang/String;Ljava/lang/String;Ljava/net/InetAddress;)V,java/io/IOException,0,61,1,1,throw_e,yes,1,-,-,-,-,-,-,-
EEC269D4928A4FF3742DD8963D6CE88C,com/turn/ttorrent/client/SimpleClient,downloadTorrent,(Ljava/lang/String;Ljava/lang/String;Ljava/net/InetAddress;)V,java/io/IOException,0,62,1,1,throw_e,yes,1,-,-,-,-,-,-,-
