"category","x","y","z","color"
"#1 Fragile stays fragile", 1.8, 0.8, 25.33771892, #4285f4
"#2 Fragile to sensitive", 1.1, 0.8, 3.605551275, #ff6d00
"#3 Fragile to immunized", 2.1, 0.8, 8.366600265, #0f9d58
"#4 Sensitive stays sensitive", 4.5, 0.8, 17.20465053, #ff6d00
"#5 Sensitive to immunized", 4.4, 0.85, 12.4498996, #0f9d58
"#6 Immunized stays immunized", 6.5, 0.8, 10.39230485, #0f9d58
