timestamp,container_memory_usage_bytes
2019-05-08 12:41:32,56455168
2019-05-08 12:41:29,56455168
2019-05-08 12:41:26,56471552
2019-05-08 12:41:23,56475648
2019-05-08 12:41:20,56475648
2019-05-08 12:41:17,56573952
2019-05-08 12:41:14,56573952
2019-05-08 12:41:11,56446976
2019-05-08 12:41:08,56545280
2019-05-08 12:41:05,56545280
2019-05-08 12:41:02,56369152
2019-05-08 12:40:59,56369152
2019-05-08 12:40:56,56455168
2019-05-08 12:40:53,56373248
2019-05-08 12:40:50,56373248
2019-05-08 12:40:47,56332288
2019-05-08 12:40:44,56332288
2019-05-08 12:40:41,56344576
2019-05-08 12:40:38,56332288
2019-05-08 12:40:35,56332288
2019-05-08 12:40:32,56254464
2019-05-08 12:40:29,56254464
2019-05-08 12:40:26,56389632
2019-05-08 12:40:23,56307712
2019-05-08 12:40:20,56307712
2019-05-08 12:40:17,56221696
2019-05-08 12:40:14,56221696
2019-05-08 12:40:11,56160256
2019-05-08 12:40:08,56127488
2019-05-08 12:40:05,56127488
2019-05-08 12:40:02,56033280
2019-05-08 12:39:59,56033280
2019-05-08 12:39:56,56020992
2019-05-08 12:39:53,56115200
2019-05-08 12:39:50,56115200
2019-05-08 12:39:47,55877632
2019-05-08 12:39:44,55877632
2019-05-08 12:39:41,55754752
2019-05-08 12:39:38,55791616
2019-05-08 12:39:35,55791616
2019-05-08 12:39:32,56692736
2019-05-08 12:39:29,56692736
2019-05-08 12:39:26,56586240
2019-05-08 12:39:23,56823808
2019-05-08 12:39:20,56823808
2019-05-08 12:39:17,56705024
2019-05-08 12:39:14,56705024
2019-05-08 12:39:11,56676352
2019-05-08 12:39:08,56578048
2019-05-08 12:39:05,56578048
2019-05-08 12:39:02,56500224
2019-05-08 12:38:59,56500224
2019-05-08 12:38:56,56668160
2019-05-08 12:38:53,56516608
2019-05-08 12:38:50,56516608
2019-05-08 12:38:47,56569856
2019-05-08 12:38:44,56569856
2019-05-08 12:38:41,56385536
2019-05-08 12:38:38,56475648
2019-05-08 12:38:35,56475648
2019-05-08 12:38:32,56643584
2019-05-08 12:38:29,56643584
2019-05-08 12:38:26,56508416
2019-05-08 12:38:23,57294848
2019-05-08 12:38:20,57294848
2019-05-08 12:38:17,56635392
2019-05-08 12:38:14,56635392
2019-05-08 12:38:11,55889920
2019-05-08 12:38:08,55717888
2019-05-08 12:38:05,55717888
2019-05-08 12:38:02,54874112
2019-05-08 12:37:59,54874112
2019-05-08 12:37:56,53817344
2019-05-08 12:37:53,52981760
2019-05-08 12:37:50,52981760
2019-05-08 12:37:47,51699712
2019-05-08 12:37:44,51699712
2019-05-08 12:37:41,51826688
2019-05-08 12:37:38,51773440
2019-05-08 12:37:35,51773440
2019-05-08 12:37:32,51441664
2019-05-08 12:37:29,51441664
2019-05-08 12:37:26,51417088
2019-05-08 12:37:23,51421184
2019-05-08 12:37:20,51421184
2019-05-08 12:37:17,51417088
2019-05-08 12:37:14,51417088
2019-05-08 12:37:11,51433472
2019-05-08 12:37:08,51372032
2019-05-08 12:37:05,51372032
2019-05-08 12:37:02,51458048
2019-05-08 12:36:59,51458048
2019-05-08 12:36:56,51331072
2019-05-08 12:36:53,51318784
2019-05-08 12:36:50,51318784
2019-05-08 12:36:47,51322880
2019-05-08 12:36:44,51322880
2019-05-08 12:36:41,51290112
2019-05-08 12:36:38,51257344
2019-05-08 12:36:35,51257344
2019-05-08 12:36:32,51453952
2019-05-08 12:36:29,51453952
2019-05-08 12:36:26,51183616
2019-05-08 12:36:23,51404800
2019-05-08 12:36:20,51404800
2019-05-08 12:36:17,51257344
2019-05-08 12:36:14,51257344
2019-05-08 12:36:11,51130368
2019-05-08 12:36:08,51097600
2019-05-08 12:36:05,51097600
2019-05-08 12:36:02,51015680
2019-05-08 12:35:59,51015680
2019-05-08 12:35:56,51036160
2019-05-08 12:35:53,51015680
2019-05-08 12:35:50,51015680
2019-05-08 12:35:47,51011584
2019-05-08 12:35:44,51011584
2019-05-08 12:35:41,50929664
2019-05-08 12:35:38,50827264
2019-05-08 12:35:35,50827264
2019-05-08 12:35:32,50704384
2019-05-08 12:35:29,50704384
