timestamp,container_memory_usage_bytes
2019-05-07 22:20:10,52649984
2019-05-07 22:20:07,52862976
2019-05-07 22:20:04,52862976
2019-05-07 22:20:01,52588544
2019-05-07 22:19:58,52592640
2019-05-07 22:19:55,52592640
2019-05-07 22:19:52,52596736
2019-05-07 22:19:49,52596736
2019-05-07 22:19:46,52547584
2019-05-07 22:19:43,52510720
2019-05-07 22:19:40,52510720
2019-05-07 22:19:37,52543488
2019-05-07 22:19:34,52543488
2019-05-07 22:19:31,52514816
2019-05-07 22:19:28,52600832
2019-05-07 22:19:25,52600832
2019-05-07 22:19:22,52457472
2019-05-07 22:19:19,52457472
2019-05-07 22:19:16,52461568
2019-05-07 22:19:13,52416512
2019-05-07 22:19:10,52416512
2019-05-07 22:19:07,52510720
2019-05-07 22:19:04,52510720
2019-05-07 22:19:01,52514816
2019-05-07 22:18:58,52371456
2019-05-07 22:18:55,52371456
2019-05-07 22:18:52,52305920
2019-05-07 22:18:49,52305920
2019-05-07 22:18:46,52301824
2019-05-07 22:18:43,52338688
2019-05-07 22:18:40,52338688
2019-05-07 22:18:37,52191232
2019-05-07 22:18:34,52191232
2019-05-07 22:18:31,52097024
2019-05-07 22:18:28,52051968
2019-05-07 22:18:25,52051968
2019-05-07 22:18:22,52117504
2019-05-07 22:18:19,52117504
2019-05-07 22:18:16,51970048
2019-05-07 22:18:13,52379648
2019-05-07 22:18:10,52379648
2019-05-07 22:18:07,52092928
2019-05-07 22:18:04,52092928
2019-05-07 22:18:01,51924992
2019-05-07 22:17:58,51908608
2019-05-07 22:17:55,51908608
2019-05-07 22:17:52,51875840
2019-05-07 22:17:49,51875840
2019-05-07 22:17:46,51847168
2019-05-07 22:17:43,51789824
2019-05-07 22:17:40,51789824
2019-05-07 22:17:37,51826688
2019-05-07 22:17:34,51826688
2019-05-07 22:17:31,51961856
2019-05-07 22:17:28,51990528
2019-05-07 22:17:25,51990528
2019-05-07 22:17:22,51834880
2019-05-07 22:17:19,51834880
2019-05-07 22:17:16,51830784
2019-05-07 22:17:13,51904512
2019-05-07 22:17:10,51904512
2019-05-07 22:17:07,51916800
2019-05-07 22:17:04,51916800
2019-05-07 22:17:01,51773440
2019-05-07 22:16:58,51703808
2019-05-07 22:16:55,51703808
2019-05-07 22:16:52,51855360
2019-05-07 22:16:49,51855360
2019-05-07 22:16:46,51814400
2019-05-07 22:16:43,51650560
2019-05-07 22:16:40,51650560
2019-05-07 22:16:37,51666944
2019-05-07 22:16:34,51666944
2019-05-07 22:16:31,51757056
2019-05-07 22:16:28,51642368
2019-05-07 22:16:25,51642368
2019-05-07 22:16:22,51531776
2019-05-07 22:16:19,51531776
2019-05-07 22:16:16,51519488
2019-05-07 22:16:13,51523584
2019-05-07 22:16:10,51523584
2019-05-07 22:16:07,51490816
2019-05-07 22:16:04,51490816
2019-05-07 22:16:01,51453952
2019-05-07 22:15:58,51433472
2019-05-07 22:15:55,51433472
2019-05-07 22:15:52,51408896
2019-05-07 22:15:49,51408896
2019-05-07 22:15:46,51445760
2019-05-07 22:15:43,51380224
2019-05-07 22:15:40,51380224
2019-05-07 22:15:37,51384320
2019-05-07 22:15:34,51384320
2019-05-07 22:15:31,51421184
2019-05-07 22:15:28,51548160
2019-05-07 22:15:25,51548160
2019-05-07 22:15:22,51388416
2019-05-07 22:15:19,51388416
2019-05-07 22:15:16,51490816
2019-05-07 22:15:13,51470336
2019-05-07 22:15:10,51470336
2019-05-07 22:15:07,51294208
2019-05-07 22:15:04,51294208
2019-05-07 22:15:01,51425280
2019-05-07 22:14:58,51208192
2019-05-07 22:14:55,51208192
2019-05-07 22:14:52,51195904
2019-05-07 22:14:49,51195904
2019-05-07 22:14:46,51200000
2019-05-07 22:14:43,51167232
2019-05-07 22:14:40,51167232
2019-05-07 22:14:37,51187712
2019-05-07 22:14:34,51187712
2019-05-07 22:14:31,51290112
2019-05-07 22:14:28,51113984
2019-05-07 22:14:25,51113984
2019-05-07 22:14:22,51171328
2019-05-07 22:14:19,51171328
2019-05-07 22:14:16,51036160
2019-05-07 22:14:13,51118080
2019-05-07 22:14:10,51118080
2019-05-07 22:14:07,50933760
2019-05-07 22:14:04,50933760
2019-05-07 22:14:01,51027968
2019-05-07 22:13:58,50995200
2019-05-07 22:13:55,50995200
2019-05-07 22:13:52,50839552
2019-05-07 22:13:49,50839552
