timestamp,container_memory_usage_bytes
2019-05-08 18:27:28,52359168
2019-05-08 18:27:25,52359168
2019-05-08 18:27:22,52346880
2019-05-08 18:27:19,52346880
2019-05-08 18:27:16,52334592
2019-05-08 18:27:13,52305920
2019-05-08 18:27:10,52305920
2019-05-08 18:27:07,52264960
2019-05-08 18:27:04,52264960
2019-05-08 18:27:01,52269056
2019-05-08 18:26:58,52281344
2019-05-08 18:26:55,52281344
2019-05-08 18:26:52,52195328
2019-05-08 18:26:49,52195328
2019-05-08 18:26:46,52277248
2019-05-08 18:26:43,52183040
2019-05-08 18:26:40,52183040
2019-05-08 18:26:37,52105216
2019-05-08 18:26:34,52105216
2019-05-08 18:26:31,52244480
2019-05-08 18:26:28,52113408
2019-05-08 18:26:25,52113408
2019-05-08 18:26:22,52162560
2019-05-08 18:26:19,52162560
2019-05-08 18:26:16,52293632
2019-05-08 18:26:13,52051968
2019-05-08 18:26:10,52051968
2019-05-08 18:26:07,52133888
2019-05-08 18:26:04,52133888
2019-05-08 18:26:01,51986432
2019-05-08 18:25:58,52187136
2019-05-08 18:25:55,52187136
2019-05-08 18:25:52,52031488
2019-05-08 18:25:49,52031488
2019-05-08 18:25:46,52129792
2019-05-08 18:25:43,51990528
2019-05-08 18:25:40,51990528
2019-05-08 18:25:37,52109312
2019-05-08 18:25:34,52109312
2019-05-08 18:25:31,52031488
2019-05-08 18:25:28,51863552
2019-05-08 18:25:25,51863552
2019-05-08 18:25:22,51814400
2019-05-08 18:25:19,51814400
2019-05-08 18:25:16,51793920
2019-05-08 18:25:13,51802112
2019-05-08 18:25:10,51802112
2019-05-08 18:25:07,51863552
2019-05-08 18:25:04,51863552
2019-05-08 18:25:01,51773440
2019-05-08 18:24:58,51744768
2019-05-08 18:24:55,51744768
2019-05-08 18:24:52,51687424
2019-05-08 18:24:49,51687424
2019-05-08 18:24:46,51658752
2019-05-08 18:24:43,51699712
2019-05-08 18:24:40,51699712
2019-05-08 18:24:37,51916800
2019-05-08 18:24:34,51916800
2019-05-08 18:24:31,51630080
2019-05-08 18:24:28,51761152
2019-05-08 18:24:25,51761152
2019-05-08 18:24:22,51650560
2019-05-08 18:24:19,51650560
2019-05-08 18:24:16,51634176
2019-05-08 18:24:13,51572736
2019-05-08 18:24:10,51572736
2019-05-08 18:24:07,51462144
2019-05-08 18:24:04,51462144
2019-05-08 18:24:01,51408896
2019-05-08 18:23:58,51548160
2019-05-08 18:23:55,51548160
2019-05-08 18:23:52,51417088
2019-05-08 18:23:49,51417088
2019-05-08 18:23:46,51367936
2019-05-08 18:23:43,51625984
2019-05-08 18:23:40,51625984
2019-05-08 18:23:37,51421184
2019-05-08 18:23:34,51421184
2019-05-08 18:23:31,51294208
2019-05-08 18:23:28,51298304
2019-05-08 18:23:25,51298304
2019-05-08 18:23:22,51286016
2019-05-08 18:23:19,51286016
2019-05-08 18:23:16,51404800
2019-05-08 18:23:13,51335168
2019-05-08 18:23:10,51335168
2019-05-08 18:23:07,51290112
2019-05-08 18:23:04,51290112
2019-05-08 18:23:01,51228672
2019-05-08 18:22:58,51290112
2019-05-08 18:22:55,51290112
2019-05-08 18:22:52,51245056
2019-05-08 18:22:49,51245056
2019-05-08 18:22:46,51249152
2019-05-08 18:22:43,51187712
2019-05-08 18:22:40,51187712
2019-05-08 18:22:37,51142656
2019-05-08 18:22:34,51142656
2019-05-08 18:22:31,51109888
2019-05-08 18:22:28,51097600
2019-05-08 18:22:25,51097600
2019-05-08 18:22:22,51122176
2019-05-08 18:22:19,51122176
2019-05-08 18:22:16,51064832
2019-05-08 18:22:13,51073024
2019-05-08 18:22:10,51073024
2019-05-08 18:22:07,51015680
2019-05-08 18:22:04,51015680
2019-05-08 18:22:01,51118080
2019-05-08 18:21:58,50974720
2019-05-08 18:21:55,50974720
2019-05-08 18:21:52,50929664
2019-05-08 18:21:49,50929664
2019-05-08 18:21:46,50892800
2019-05-08 18:21:43,50786304
2019-05-08 18:21:40,50786304
2019-05-08 18:21:37,50647040
2019-05-08 18:21:34,50647040
2019-05-08 18:21:31,50626560
2019-05-08 18:21:28,50552832
2019-05-08 18:21:25,50552832
