timestamp,example-voting-app_vote_1
2019-05-07 14:00:15,0
2019-05-07 14:00:12,0
2019-05-07 14:00:09,0
2019-05-07 14:00:06,0
2019-05-07 14:00:03,0
2019-05-07 14:00:00,0
2019-05-07 13:59:57,0
2019-05-07 13:59:54,0
2019-05-07 13:59:51,0
2019-05-07 13:59:48,0
2019-05-07 13:59:45,0
2019-05-07 13:59:42,0
2019-05-07 13:59:39,0
2019-05-07 13:59:36,0
2019-05-07 13:59:33,0
2019-05-07 13:59:30,0
2019-05-07 13:59:27,0
2019-05-07 13:59:24,0
2019-05-07 13:59:21,0
2019-05-07 13:59:18,0
2019-05-07 13:59:15,0
2019-05-07 13:59:12,0
2019-05-07 13:59:09,0
2019-05-07 13:59:06,0
2019-05-07 13:59:03,0
2019-05-07 13:59:00,0
2019-05-07 13:58:57,0
2019-05-07 13:58:54,0
2019-05-07 13:58:51,0
2019-05-07 13:58:48,0
2019-05-07 13:58:45,0
2019-05-07 13:58:42,0
2019-05-07 13:58:39,0
2019-05-07 13:58:36,0
2019-05-07 13:58:33,0
2019-05-07 13:58:30,0
2019-05-07 13:58:27,0
2019-05-07 13:58:24,0
2019-05-07 13:58:21,0
2019-05-07 13:58:18,0
2019-05-07 13:58:15,0
2019-05-07 13:58:12,0
2019-05-07 13:58:09,0
2019-05-07 13:58:06,0
2019-05-07 13:58:03,0
2019-05-07 13:58:00,0
2019-05-07 13:57:57,0
2019-05-07 13:57:54,0
2019-05-07 13:57:51,0
2019-05-07 13:57:48,0
2019-05-07 13:57:45,0
2019-05-07 13:57:42,0
2019-05-07 13:57:39,0
2019-05-07 13:57:36,0
2019-05-07 13:57:33,0
2019-05-07 13:57:30,0
2019-05-07 13:57:27,0
2019-05-07 13:57:24,0
2019-05-07 13:57:21,0
2019-05-07 13:57:18,0
2019-05-07 13:57:15,0
