2021-10-11 09:24:22 UTC Syncing #13396472 0xac55…cec4     0.40 blk/s   88.2 tx/s    7.5 Mgas/s      0+    7 Qed LI:#13396480    0/25 peers      5 MiB chain    2 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:24:22 UTC Syncing #13396474 0x661f…b04e     0.42 blk/s   51.5 tx/s    4.6 Mgas/s      0+    5 Qed LI:#13396480    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:24:22 UTC Syncing #13396474 0x661f…b04e     0.20 blk/s    8.9 tx/s    1.0 Mgas/s      0+    5 Qed LI:#13396480    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:24:25 UTC Syncing #13396474 0x661f…b04e     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed LI:#13396480    0/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:24:50 UTC Imported #13396480 0xdf4a…ba11 (358 txs, 29.98 Mgas, 7622 ms, 127.04 KiB)
2021-10-11 09:24:50 UTC Updated conversion rate to Ξ1 = US$3597.42 (1323699.9 wei/gas)
2021-10-11 09:24:57 UTC   2/25 peers      6 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:25:05 UTC Syncing #13396480 0xdf4a…ba11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    0 Qed LI:#13396480    4/25 peers      7 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:25:10 UTC Syncing #13396480 0xdf4a…ba11     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed LI:#13396486    7/25 peers      8 MiB chain  958 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:25:20 UTC Syncing #13396481 0x3688…e09f     0.20 blk/s   41.2 tx/s    4.3 Mgas/s      0+    4 Qed LI:#13396486    7/25 peers      7 MiB chain  906 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:25:20 UTC Syncing #13396482 0x94eb…e5e8     0.20 blk/s   24.2 tx/s    2.4 Mgas/s      0+    3 Qed LI:#13396486    7/25 peers      6 MiB chain  380 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:25:29 UTC Syncing #13396483 0x6abd…2490     0.20 blk/s   73.0 tx/s    6.0 Mgas/s      0+    2 Qed LI:#13396486    7/25 peers      5 MiB chain   90 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:25:35 UTC Syncing #13396486 0xb9e8…0b77     0.30 blk/s   23.2 tx/s    2.5 Mgas/s      0+    0 Qed LI:#13396486    6/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:25:35 UTC Syncing #13396485 0xc4e7…6c83     0.40 blk/s   40.8 tx/s    4.1 Mgas/s      0+    0 Qed LI:#13396486    6/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:25:40 UTC Syncing #13396486 0xb9e8…0b77     0.20 blk/s    5.2 tx/s    0.8 Mgas/s      0+    0 Qed LI:#13396486    6/25 peers      5 MiB chain  0 bytes queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:26:04 UTC Syncing #13396486 0xb9e8…0b77     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    5 Qed LI:#13396491    6/25 peers      5 MiB chain    1 MiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:26:12 UTC Syncing #13396488 0x6419…1fe8     0.40 blk/s   74.4 tx/s    6.9 Mgas/s      0+    3 Qed LI:#13396490    5/25 peers      5 MiB chain  496 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:26:21 UTC Syncing #13396488 0x6419…1fe8     0.00 blk/s    0.0 tx/s    0.0 Mgas/s      0+    3 Qed LI:#13396490    5/25 peers      5 MiB chain  496 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
2021-10-11 09:26:21 UTC Syncing #13396489 0xa89b…8578     0.10 blk/s   32.3 tx/s    2.9 Mgas/s      0+    2 Qed LI:#13396490    5/25 peers      6 MiB chain  256 KiB queue  RPC:  0 conn,    0 req/s,    0 µs
