timestamp,container_memory_usage_bytes
2019-05-08 22:33:35,52076544
2019-05-08 22:33:32,52256768
2019-05-08 22:33:29,52256768
2019-05-08 22:33:26,52113408
2019-05-08 22:33:23,52084736
2019-05-08 22:33:20,52084736
2019-05-08 22:33:17,51994624
2019-05-08 22:33:14,51994624
2019-05-08 22:33:11,52129792
2019-05-08 22:33:08,51986432
2019-05-08 22:33:05,51986432
2019-05-08 22:33:02,52043776
2019-05-08 22:32:59,52043776
2019-05-08 22:32:56,51965952
2019-05-08 22:32:53,51986432
2019-05-08 22:32:50,51986432
2019-05-08 22:32:47,51974144
2019-05-08 22:32:44,51974144
2019-05-08 22:32:41,51912704
2019-05-08 22:32:38,51933184
2019-05-08 22:32:35,51933184
2019-05-08 22:32:32,51884032
2019-05-08 22:32:29,51884032
2019-05-08 22:32:26,51859456
2019-05-08 22:32:23,51798016
2019-05-08 22:32:20,51798016
2019-05-08 22:32:17,51978240
2019-05-08 22:32:14,51978240
2019-05-08 22:32:11,51806208
2019-05-08 22:32:08,51888128
2019-05-08 22:32:05,51888128
2019-05-08 22:32:02,51736576
2019-05-08 22:31:59,51736576
2019-05-08 22:31:56,51736576
2019-05-08 22:31:53,51867648
2019-05-08 22:31:50,51867648
2019-05-08 22:31:47,51703808
2019-05-08 22:31:44,51703808
2019-05-08 22:31:41,51630080
2019-05-08 22:31:38,51650560
2019-05-08 22:31:35,51650560
2019-05-08 22:31:32,51658752
2019-05-08 22:31:29,51658752
2019-05-08 22:31:26,51912704
2019-05-08 22:31:23,51650560
2019-05-08 22:31:20,51650560
2019-05-08 22:31:17,51687424
2019-05-08 22:31:14,51687424
2019-05-08 22:31:11,51904512
2019-05-08 22:31:08,51744768
2019-05-08 22:31:05,51744768
2019-05-08 22:31:02,51679232
2019-05-08 22:30:59,51679232
2019-05-08 22:30:56,51863552
2019-05-08 22:30:53,51691520
2019-05-08 22:30:50,51691520
2019-05-08 22:30:47,51531776
2019-05-08 22:30:44,51531776
2019-05-08 22:30:41,51757056
2019-05-08 22:30:38,51572736
2019-05-08 22:30:35,51572736
2019-05-08 22:30:32,51564544
2019-05-08 22:30:29,51564544
2019-05-08 22:30:26,51478528
2019-05-08 22:30:23,51429376
2019-05-08 22:30:20,51429376
2019-05-08 22:30:17,51437568
2019-05-08 22:30:14,51437568
2019-05-08 22:30:11,51576832
2019-05-08 22:30:08,51769344
2019-05-08 22:30:05,51769344
2019-05-08 22:30:02,51539968
2019-05-08 22:29:59,51539968
2019-05-08 22:29:56,51572736
2019-05-08 22:29:53,51593216
2019-05-08 22:29:50,51593216
2019-05-08 22:29:47,51396608
2019-05-08 22:29:44,51396608
2019-05-08 22:29:41,51683328
2019-05-08 22:29:38,51347456
2019-05-08 22:29:35,51347456
2019-05-08 22:29:32,51314688
2019-05-08 22:29:29,51314688
2019-05-08 22:29:26,51523584
2019-05-08 22:29:23,51343360
2019-05-08 22:29:20,51343360
2019-05-08 22:29:17,51515392
2019-05-08 22:29:14,51515392
2019-05-08 22:29:11,51331072
2019-05-08 22:29:08,51449856
2019-05-08 22:29:05,51449856
2019-05-08 22:29:02,51404800
2019-05-08 22:28:59,51404800
2019-05-08 22:28:56,51240960
2019-05-08 22:28:53,51216384
2019-05-08 22:28:50,51216384
2019-05-08 22:28:47,51134464
2019-05-08 22:28:44,51134464
2019-05-08 22:28:41,51105792
2019-05-08 22:28:38,51138560
2019-05-08 22:28:35,51138560
2019-05-08 22:28:32,51150848
2019-05-08 22:28:29,51150848
2019-05-08 22:28:26,51171328
2019-05-08 22:28:23,51236864
2019-05-08 22:28:20,51236864
2019-05-08 22:28:17,51122176
2019-05-08 22:28:14,51122176
2019-05-08 22:28:11,51167232
2019-05-08 22:28:08,51023872
2019-05-08 22:28:05,51023872
2019-05-08 22:28:02,50946048
2019-05-08 22:27:59,50946048
2019-05-08 22:27:56,50909184
2019-05-08 22:27:53,50835456
2019-05-08 22:27:50,50835456
2019-05-08 22:27:47,50896896
2019-05-08 22:27:44,50896896
2019-05-08 22:27:41,50790400
2019-05-08 22:27:38,50651136
2019-05-08 22:27:35,50651136
2019-05-08 22:27:32,50372608
