timestamp,accept,clone,close,connect,create,ctl,dup2,exit,fcntl,futex,getaffinity,getsockname,gettid,ioctl,list,lseek,madvise,mmap,mprotect,munmap,newfstat,newstat,open,pipe,poll,pread64,pwrite64,read,recvfrom,sendto,sigprocmask,socket,syscall,wait,write,yield
2019-05-11 22:15:16,4804.945454545454,0,0,0,0,0,0,0,0,6993.636363636363,0,0,0,0,0,84.47272727272727,0,340.78181818181815,1949.3272727272727,0,0,0,0,0,0,4522.072727272726,3711.7999999999997,7107.1454545454535,0,0,0,0,0,6444.890909090909,4381.618181818181,243.6363636363636
2019-05-11 22:15:13,4855.181818181818,0,0,0,0,0,0,0,0,6870.581818181818,0,0,0,0,0,84.47272727272727,0,292.10909090909087,1619.8363636363636,0,0,0,0,0,0,4368.145454545454,3712.9454545454546,6899.181818181818,0,0,0,0,0,6199.8,4062.9818181818177,243.6363636363636
2019-05-11 22:15:10,4855.181818181818,0,0,0,0,0,0,0,0,6870.581818181818,0,0,0,0,0,84.47272727272727,0,292.10909090909087,1619.8363636363636,0,0,0,0,0,0,4368.145454545454,3712.9454545454546,6899.181818181818,0,0,0,0,0,6199.8,4062.9818181818177,243.6363636363636
2019-05-11 22:15:07,4627.381818181818,0,0,0,0,0,0,0,0,6682.163636363636,0,0,0,0,0,84.47272727272727,0,304.72727272727275,1451.0727272727272,0,0,0,0,0,0,4306.836363636363,3704.581818181818,6820.527272727272,0,0,0,0,0,6047.1454545454535,4136.70909090909,152.69090909090906
2019-05-11 22:15:04,4696.981818181817,0,0,0,0,0,0,0,0,6590.290909090909,0,0,0,0,0,84.47272727272727,0,304.72727272727275,1515.4181818181817,0,0,0,0,0,0,4012.1999999999994,3619.3272727272724,6746.10909090909,0,0,0,0,0,5957.381818181818,3987.5454545454545,152.69090909090906
2019-05-11 22:15:01,4696.981818181817,0,0,0,0,0,0,0,0,6590.290909090909,0,0,0,0,0,84.47272727272727,0,304.72727272727275,1515.4181818181817,0,0,0,0,0,0,4012.1999999999994,3619.3272727272724,6746.10909090909,0,0,0,0,0,5957.381818181818,3987.5454545454545,152.69090909090906
2019-05-11 22:14:58,4591.490909090909,0,0,0,0,0,0,0,0,6585.999999999999,0,0,0,0,0,0,0,304.72727272727275,1364.9818181818182,0,0,0,0,0,0,4136.872727272727,3726.2363636363634,6733.072727272726,0,0,0,0,0,6049.654545454545,4051.163636363636,152.69090909090906
2019-05-11 22:14:55,4591.490909090909,0,0,0,0,0,0,0,0,6585.999999999999,0,0,0,0,0,0,0,304.72727272727275,1364.9818181818182,0,0,0,0,0,0,4136.872727272727,3726.2363636363634,6733.072727272726,0,0,0,0,0,6049.654545454545,4051.163636363636,152.69090909090906
2019-05-11 22:14:52,4540.272727272726,0,63.672727272727265,0,0,0,13.836363636363636,64.03636363636363,0,6452.545454545454,0,0,0,0,0,4.6909090909090905,33.345454545454544,307.76363636363635,1248.5272727272725,0,1.490909090909091,0,2.436363636363636,0,0,4005.7454545454543,3771.981818181818,6638.563636363636,0,0,126.56363636363635,0,0,5898.672727272727,3763.7090909090907,152.69090909090906
2019-05-11 22:14:49,4072.8181818181815,0,63.672727272727265,0,0,0,13.836363636363636,64.03636363636363,0,5830.890909090909,0,0,0,0,0,4.6909090909090905,33.345454545454544,127.78181818181817,1019.0545454545453,0,1.490909090909091,0,2.436363636363636,0,0,3546.636363636363,3406.7454545454543,5932.763636363637,0,0,126.56363636363635,0,0,5308.4,3342.5999999999995,106.67272727272727
