timestamp,container_memory_usage_bytes
2019-05-07 01:46:21,63574016
2019-05-07 01:46:18,63574016
2019-05-07 01:46:15,63492096
2019-05-07 01:46:12,63696896
2019-05-07 01:46:09,63696896
2019-05-07 01:46:06,63942656
2019-05-07 01:46:03,63942656
2019-05-07 01:46:00,64245760
2019-05-07 01:45:57,64225280
2019-05-07 01:45:54,64225280
2019-05-07 01:45:51,64020480
2019-05-07 01:45:48,64020480
2019-05-07 01:45:45,64364544
2019-05-07 01:45:42,65196032
2019-05-07 01:45:39,65196032
2019-05-07 01:45:36,65437696
2019-05-07 01:45:33,65437696
2019-05-07 01:45:30,66002944
2019-05-07 01:45:27,68534272
2019-05-07 01:45:24,68534272
2019-05-07 01:45:21,92577792
2019-05-07 01:45:18,92577792
2019-05-07 01:45:15,92700672
2019-05-07 01:45:12,92790784
2019-05-07 01:45:09,92790784
2019-05-07 01:45:06,92913664
2019-05-07 01:45:03,92913664
2019-05-07 01:45:00,92803072
2019-05-07 01:44:57,93102080
2019-05-07 01:44:54,93102080
2019-05-07 01:44:51,92770304
2019-05-07 01:44:48,92770304
2019-05-07 01:44:45,93036544
2019-05-07 01:44:42,92839936
2019-05-07 01:44:39,92839936
2019-05-07 01:44:36,92917760
2019-05-07 01:44:33,92917760
2019-05-07 01:44:30,92934144
2019-05-07 01:44:27,37158912
2019-05-07 01:44:24,37158912
2019-05-07 01:44:21,37126144
2019-05-07 01:44:18,37126144
2019-05-07 01:44:15,37126144
2019-05-07 01:44:12,37122048
2019-05-07 01:44:09,37122048
2019-05-07 01:44:06,37113856
2019-05-07 01:44:03,37113856
2019-05-07 01:44:00,37064704
2019-05-07 01:43:57,37064704
2019-05-07 01:43:54,37064704
2019-05-07 01:43:51,37064704
2019-05-07 01:43:48,37064704
2019-05-07 01:43:45,37064704
2019-05-07 01:43:42,37064704
2019-05-07 01:43:39,37064704
2019-05-07 01:43:36,37064704
2019-05-07 01:43:33,37064704
2019-05-07 01:43:30,37064704
2019-05-07 01:43:27,37064704
2019-05-07 01:43:24,37064704
2019-05-07 01:43:21,37064704
2019-05-07 01:43:18,37064704
2019-05-07 01:43:15,37064704
2019-05-07 01:43:12,37064704
2019-05-07 01:43:09,37064704
2019-05-07 01:43:06,37064704
2019-05-07 01:43:03,37064704
2019-05-07 01:43:00,37064704
2019-05-07 01:42:57,37064704
2019-05-07 01:42:54,37064704
2019-05-07 01:42:51,37142528
2019-05-07 01:42:48,37142528
2019-05-07 01:42:45,37007360
2019-05-07 01:42:42,36962304
2019-05-07 01:42:39,36962304
2019-05-07 01:42:36,36864000
2019-05-07 01:42:33,36864000
2019-05-07 01:42:30,36864000
2019-05-07 01:42:27,36716544
2019-05-07 01:42:24,36716544
2019-05-07 01:42:21,36782080
2019-05-07 01:42:18,36782080
2019-05-07 01:42:15,37044224
2019-05-07 01:42:12,36917248
2019-05-07 01:42:09,36917248
2019-05-07 01:42:06,36732928
2019-05-07 01:42:03,36732928
2019-05-07 01:42:00,36741120
2019-05-07 01:41:57,36769792
2019-05-07 01:41:54,36769792
2019-05-07 01:41:51,36659200
2019-05-07 01:41:48,36659200
2019-05-07 01:41:45,36765696
2019-05-07 01:41:42,36716544
2019-05-07 01:41:39,36716544
2019-05-07 01:41:36,36794368
2019-05-07 01:41:33,36794368
2019-05-07 01:41:30,36802560
2019-05-07 01:41:27,36720640
2019-05-07 01:41:24,36720640
2019-05-07 01:41:21,36622336
2019-05-07 01:41:18,36622336
2019-05-07 01:41:15,36864000
2019-05-07 01:41:12,36655104
2019-05-07 01:41:09,36655104
2019-05-07 01:41:06,36806656
2019-05-07 01:41:03,36806656
2019-05-07 01:41:00,36622336
2019-05-07 01:40:57,36704256
2019-05-07 01:40:54,36704256
2019-05-07 01:40:51,36831232
2019-05-07 01:40:48,36831232
2019-05-07 01:40:45,36474880
2019-05-07 01:40:42,36478976
2019-05-07 01:40:39,36478976
2019-05-07 01:40:36,36687872
2019-05-07 01:40:33,36687872
2019-05-07 01:40:30,36597760
2019-05-07 01:40:27,36474880
2019-05-07 01:40:24,36474880
2019-05-07 01:40:21,36151296
2019-05-07 01:40:18,36151296
