timestamp,accept,brk,clone,close,connect,create,ctl,dup2,exit,fcntl,futex,getaffinity,getpid,getsockname,gettid,ioctl,list,lseek,madvise,mmap,mprotect,munmap,newfstat,newstat,open,pipe,poll,pread64,pwrite64,read,recvfrom,sendto,sigprocmask,socket,syscall,wait,write,yield
2019-05-11 22:39:33,100.03636363636363,0,0,0,0,0,0,0,0,0,128.9090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.254545454545454,0
2019-05-11 22:39:30,100.03636363636363,0,0,0,0,0,0,0,0,0,128.9090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.254545454545454,0
2019-05-11 22:39:27,94.6,0,0,0,0,0,0,0,0,0,123.8181818181818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.254545454545454,0
2019-05-11 22:39:24,88.32727272727271,0,0,0,0,0,0,0,0,0,115.5090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2019-05-11 22:39:21,88.32727272727271,0,0,0,0,0,0,0,0,0,115.5090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0
2019-05-11 22:39:18,77.96363636363635,0,0,0,0,0,0,0,0,0,111.1090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.854545454545455,0
2019-05-11 22:39:15,77.96363636363635,0,0,0,0,0,0,0,0,0,111.1090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.854545454545455,0
2019-05-11 22:39:12,74.01818181818182,0,0,0,0,0,0,0,0,0,103.16363636363636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.236363636363635,0
2019-05-11 22:39:09,68.09090909090908,0,0,0,0,0,0,0,0,0,99.14545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49090909090909,0
2019-05-11 22:39:06,68.09090909090908,0,0,0,0,0,0,0,0,0,99.14545454545454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.49090909090909,0
2019-05-11 22:39:03,65.03636363636363,0,0,0,0,0,0,0,0,0,93.85454545454544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.763636363636362,0
2019-05-11 22:39:00,65.03636363636363,0,0,0,0,0,0,0,0,0,93.85454545454544,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.763636363636362,0
2019-05-11 22:38:57,63.47272727272727,0,0,0,0,0,0,0,0,0,92.52727272727272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.709090909090908,0
2019-05-11 22:38:54,62.63636363636363,0,0,0,0,0,0,0,0,0,93.1090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.527272727272727,0
2019-05-11 22:38:51,62.63636363636363,0,0,0,0,0,0,0,0,0,93.1090909090909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.527272727272727,0
2019-05-11 22:38:48,122.49090909090908,0,0,0,0,0,0,0,0,0,153.96363636363637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.236363636363635,0
